Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
error,2.0476190476190474,1.3962493813980743,172.0,84,1.0
none,4.059523809523808,2.9385316818454434,341.0,83,0.988095223903656
none -> error,1.0119047619047619,0.6110241771299169,85.0,71,0.8452380895614624
error -> none,0.8214285714285715,0.6044157646217011,69.0,61,0.726190447807312
none -> none,1.5119047619047614,1.4519952837641856,127.0,61,0.726190447807312
none -> none -> error,0.5714285714285714,0.5658071169857003,48.0,45,0.5357142686843872


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
