Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,2.5,1.8973665961010275,40.0,16,1.0
case2,3.0,1.8618986725025255,48.0,15,0.9375
none -> case2,1.1875,0.6551081335677849,19.0,14,0.875
case1,1.5625,1.7114808402861736,25.0,11,0.6875
case2 -> case2,0.875,0.806225774829855,14.0,10,0.625
case2 -> none,0.5625,0.6291528696058958,9.0,8,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
