Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,2.6153846153846154,1.6751578570850707,68.0,26,1.0
case2,1.846153846153846,2.0725309684983277,48.0,15,0.5769230723381042
none -> none,0.7692307692307693,0.8629109946080098,20.0,14,0.5384615659713745
none -> case2,0.7307692307692307,0.7775701798650617,19.0,14,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
