sequences,lid
high;high,0
high,1
high;high,2
high;high,3
high;low,4
high;high,5
high;high,6
high;high,7
high,8
high,9
high,10
high,11
high,12
high,13
high,14
high,15
high;high,16
high,17
high,18
high;low,19
high,20
high;high,21
high;low;low,22
high;low,23
high;high,24
high;high,25
high;low,26
high,27
high,28
high;high,29
high;high;high,30
high;high;low;high,31
high,32
high,33
high,34
high;high,35
high,36
high;low;high;high,37
high,38
high,39
high;high;high,40
high;low,41
high,42
high;low;high;low,43
high,44
high;high;high,45
high;high;low,46
low;low,47
high;high,48
high;low;high,49
high;high,50
high;high,51
high;low;low;low,52
high;low;high,53
high,54
high;high,55
high,56
high;high,57
high;high,58
high;low,59
high,60
high,61
high;high,62
high;high,63
high,64
low;high;high,65
high,66
