Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,3.89041095890411,3.389369180227825,284.0,65,0.8904109597206116
high,3.3835616438356166,2.8167659597207764,247.0,64,0.8767123222351074
high -> low,1.5068493150684934,1.6842677907231918,110.0,50,0.6849315166473389
high -> high,0.9726027397260275,0.9856273064473265,71.0,49,0.6712328791618347
low -> low,1.3287671232876714,1.3545683457650093,97.0,48,0.6575342416763306
low -> high,1.3561643835616435,1.7588653461638482,99.0,44,0.6027397513389587


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
