Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.8333333333333335,2.2069839753052203,646.0,216,0.9473684430122375
low,3.0482456140350873,2.940278762178833,695.0,201,0.8815789222717285
high -> low,1.4035087719298243,1.2747586676370017,320.0,183,0.8026315569877625
low -> low,0.9912280701754388,1.280112977083843,226.0,123,0.5394737124443054
high -> high,0.7412280701754388,0.8947533219978643,169.0,119,0.5219298005104065
low -> high,0.9780701754385966,1.3584299548339902,223.0,118,0.5175438523292542


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
