Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.0825688073394497,1.1557300111391238,336.0,109,1.0
high -> high,1.0091743119266057,0.5852415272859048,110.0,94,0.8623853325843811
low,1.8807339449541285,1.884266094689477,205.0,87,0.7981651425361633
high -> low,1.2201834862385321,0.9463164274363418,133.0,85,0.7798165082931519
high -> high -> low,0.6422018348623852,0.5361546173449466,70.0,67,0.6146789193153381
low -> high,0.7339449541284404,0.7893058581327248,80.0,59,0.5412843823432922


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
