sequences,lid
high;high;high;high,0
high;high,1
high;high;high;high;high,2
high;low;high;high;high,3
high;high;high;low;low,4
high;high;high;high,5
high;high;low;high;high,6
high;high;high,7
high;low;high,8
high;high;high,9
high;high,10
high;high;high,11
high;high,12
high;high,13
high;high;low;high,14
high;low;high,15
high;low;high;high,16
high;high;high,17
high;high;high;high,18
high;low;low;high;high;low;high,19
high;low;high;high,20
high;high;high;high,21
high;high;low;high,22
high;low;high;high;high,23
high;high,24
high;high;low;high;high;low;low;high,25
high;high;high,26
high;high;high,27
high;high;low,28
high;high;high;low,29
high;high;high,30
high;high,31
high;high;high,32
high;high;high;low;low;high,33
high;low;high;high,34
high;high,35
high;low;high;low;low;high;high;low,36
high;high,37
high;high;high;high;low;high;high,38
high;high;low;high;low;high;low,39
low;low;low;high,40
high;low;high;high;low;high,41
high;high;low;low;high,42
high;low;low;low;high;low;high;high,43
high;low;high;low;high;low;high,44
high;high;high,45
high;high;low;high;high,46
high;high;high,47
high;high;high;high,48
high;high;high;high,49
high;low;high;high;high,50
high;high;high,51
high;high,52
high;high;low;high,53
high;high;low;low;high,54
high;high;high,55
high;high,56
