sequences,lid
low;low;high;high,0
high;high,1
high;high;high;high;low,2
high;low;high;high;low,3
high;high;high;low;low,4
high;high;high;low,5
high;high;low;high;low,6
high;high;low,7
high;low;high,8
high;high;high,9
high;high,10
high;high;low,11
high;high,12
high;high,13
high;high;low;high,14
high;low;high,15
high;low;high;high,16
high;low;high,17
high;high;high;low,18
high;low;low;high;high;low;low,19
high;low;high;high,20
high;high;high;low,21
high;high;low;high,22
high;low;high;high;low,23
high;high,24
high;high;low;low;high;low;low;high,25
high;high;high,26
high;high;high,27
high;high;low,28
high;high;high;low,29
high;high;low,30
high;high,31
high;high;high,32
high;high;high;low;low;low,33
high;low;high;high,34
high;high,35
high;low;high;low;low;high;low;low,36
high;high,37
high;high;high;high;low;high;low,38
high;high;low;high;low;high;low,39
low;low;low;high,40
high;low;high;high;low;low,41
high;high;low;low;high,42
high;low;low;low;high;low;high;low,43
high;low;high;low;high;low;high,44
high;high;low,45
high;high;low;high;low,46
high;high;low,47
high;high;high;low,48
high;high;high;low,49
high;low;high;high;low,50
high;high;low,51
high;high,52
high;high;low;low,53
high;high;low;low;low,54
high;high;low,55
high;high,56
