Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,4.128,3.3407938017492875,516.0,125,1.0
case,3.2640000000000002,2.40008064380641,408.0,125,1.0
case -> none,1.4720000000000002,0.7136457963027907,184.0,125,1.0
none -> none,1.384,1.625323789081683,173.0,88,0.7039999961853027
none -> case,1.0,0.9503819266229829,125.0,83,0.6639999747276306
case -> none -> none,0.7600000000000001,0.6647822830603773,95.0,81,0.6480000019073486
case -> case,1.152,1.1984936782370579,144.0,81,0.6480000019073486
case -> case -> none,0.7680000000000001,0.6855184052021995,96.0,80,0.6399999856948853


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
