Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.5625,2.5136722911105127,114.0,30,0.9375
low,3.53125,2.396023251004639,113.0,28,0.875
high -> high,1.09375,0.9954533737723926,35.0,24,0.75
high -> low,1.375,1.211503997304124,44.0,22,0.6875
low -> high,1.21875,1.1283552117444966,39.0,22,0.6875
low -> low,1.25,1.1071614388213236,40.0,22,0.6875
low -> low -> high,0.78125,0.8700899100741849,25.0,18,0.5625
low -> high -> high,0.5625,0.564400909900732,18.0,17,0.53125


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
