Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.121428571428572,2.27424699260007,577.0,140,1.0
high -> high,1.3785714285714288,1.0760162146277488,193.0,119,0.8500000238418579
low,2.3428571428571434,2.1516981032771425,328.0,114,0.8142856955528259
low -> high,1.4071428571428573,1.2167679121783597,197.0,106,0.7571428418159485
high -> low,1.2928571428571431,1.1536393996119856,181.0,103,0.7357142567634583
low -> high -> high,0.6285714285714287,0.713113117676474,88.0,73,0.5214285850524902
high -> low -> high,0.6285714285714287,0.7427622676389531,88.0,70,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
