Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,6.21875,3.957307450535593,199.0,32,1.0
low -> low,2.71875,1.954884288300758,87.0,29,0.90625
low -> low -> low,1.75,1.2951522516054665,56.0,27,0.84375
low -> low -> low -> low,1.0,0.9503819266229829,32.0,22,0.6875
high,0.875,0.7931155389125321,28.0,21,0.65625
high -> low,0.78125,0.75067174218571,25.0,19,0.59375
low -> low -> low -> low -> low,0.65625,0.7006621292426463,21.0,18,0.5625
high -> low -> low,0.5625,0.6189220598177385,18.0,16,0.5
low -> low -> low -> low -> low -> low,0.59375,0.7120789644505048,19.0,16,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
