Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.497142857142857,1.1440716043134658,437.0,175,1.0
high -> low,1.1371428571428572,0.8259740729161662,199.0,145,0.8285714387893677
low,2.3771428571428572,2.2400592298057114,416.0,145,0.8285714387893677
high -> high,0.72,0.6489602647985134,126.0,108,0.6171428561210632
low -> low,0.8171428571428574,1.0343207317008938,143.0,93,0.5314285755157471
high -> low -> low,0.582857142857143,0.6090720821985106,102.0,92,0.5257142782211304


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
