sequences,lid
none;none,0
none,1
none;none;none,2
none;none;none,3
none;none;none,4
none;none;none,5
none;none,6
none;none;none,7
none;none,8
none;none,9
none;none,10
case;none,11
none,12
none;none,13
none,14
none,15
none;none,16
none;none,17
none;none,18
none;none,19
none;none,20
none;none,21
none;none;none;none,22
none;none,23
none;none,24
none;none,25
none;case;none,26
none,27
none,28
none;none,29
none;none;none;none,30
none;none;none;none,31
case;none,32
none;none,33
none;none,34
none;none,35
none;none,36
case;none;none;none,37
none,38
none;none,39
case;none;none,40
none;none,41
none,42
none;none;none;none,43
none,44
none;none;none;none,45
case;none;case;none,46
none;none,47
none;none,48
case;none;none,49
none;none;none,50
none;none;none,51
none;none;none;none,52
none;case;none;none,53
none;none,54
none;none;none,55
none;none,56
none;none,57
case;none,58
none;none;none,59
none;none,60
none,61
case;none,62
none;none;none,63
case;none,64
none;none;none,65
none,66
