sequences,lid
none;none;none;none,0
none;none,1
none;none;none;none;none,2
none;none;none;none;none,3
none;none;none;none;none,4
none;none;none;none,5
none;none;none;none;none,6
none;none;none,7
none;none;none,8
none;none;none,9
none;none,10
none;none;none,11
none;none,12
none;none,13
none;none;none;none,14
none;none;none,15
none;none;none;none,16
case3;none;none,17
none;none;none;none,18
none;none;none;none;none;none;none,19
none;none;none;none,20
none;none;none;none,21
none;none;none;none,22
none;none;none;case3;none,23
none;none,24
none;none;none;none;none;none;none;none,25
none;case3;none,26
none;none;none,27
none;none;none,28
none;none;none;none,29
none;none;none,30
none;none,31
none;none;none,32
none;none;case3;case3;none;none,33
none;none;none;none,34
none;none,35
none;none;none;none;none;none;none;none,36
none;none,37
none;none;none;none;none;none;none,38
none;case3;none;case3;none;case3;none,39
none;none;none;none,40
none;none;none;case3;none;none,41
none;case3;none;none;none,42
none;none;none;none;none;none;none;none,43
none;none;none;none;case3;none;none,44
none;none;none,45
none;case3;none;none;none,46
none;none;none,47
none;none;none;none,48
none;case3;case3;none,49
none;none;none;none;none,50
none;none;none,51
none;none,52
none;case3;case3;none,53
none;none;none;none;none,54
none;case3;none,55
none;none,56
