Student ID,WorldSpace,index,Submission_TreeDist_Successive,nb_tentative,pct_activity,error,missing,move1,move2,pickup1,place1,nb_error,nb_missing,nb_move1,nb_move2,nb_pickup1,nb_place1,pct_error,pct_missing,pct_move1,pct_move2,pct_pickup1,pct_place1,euclidean_distance,delta_successive,success,has_error,activity,seq_error,case1,case2,case3,cases,activity_all,bucket_delta_successive,bucket_Submission_TreeDist_Successive,median_split_delta_successive,median_split_Submission_TreeDist_Successive,at_least_2_tentatives,error_sequence,case_sequence,success_seq
AUS123433,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",0,0.0,2,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.6439209162167847,0.0,1,1,1,none,0,0,0,none,123,low,low,low,low,1,no_error,none,success
AUS123433,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,ra-world-shape ra-world-shapeA,', 'E,E,E,E,ra-world-shape ra-world-shapeA,false']",1,12.0,2,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5717718748968657,1,1,1,none,0,0,0,none,123,high,high,high,high,1,no_error,none,success
AUS123433,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,ra-world-shape ra-world-shapeA,', 'E,E,E,E,ra-world-shape ra-world-shapeA,move1']",2,4.0,2,1.0,1,0,1,0,0,0,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0156173761888606,0.0156173761888606,1,1,1,move1,0,1,0,case2,123,low,high,low,high,1,error,case,success
AUS123505,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",0,0.0,5,0.0,0,0,0,0,0,0,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.6439209162167847,0.0,1,1,1,none,0,0,0,none,123,low,low,low,low,1,no_error,none,success
AUS123505,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,false']",1,5.0,5,0.2,0,0,0,0,0,0,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.4685212856658182,0.196116135138184,1,1,1,none,0,0,0,none,123,high,high,high,high,1,no_error,none,success
AUS123505,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,place1']",2,1.0,5,0.4,1,0,0,0,0,1,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.4841386618546788,0.0156173761888606,1,1,1,place1,0,1,0,case2,123,low,low,low,low,1,error,case,success
AUS123505,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,ra-world-shape ra-world-shapeA,E,E,E,place1']",3,2.0,5,0.6,1,0,0,0,0,1,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.5718384771301621,0.1260489022637071,1,1,1,place1,0,1,0,case2,123,high,low,high,low,1,error,case,success
AUS123505,"['E,E,E,E,ra-world-arm,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,ra-world-shape ra-world-shapeA,move1']",4,2.0,5,0.8,1,0,1,0,0,0,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.3375778342972529,0.2498780190217697,1,1,1,move1,0,1,0,case2,123,high,low,high,low,1,error,case,success
AUS123505,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,ra-world-shape ra-world-shapeA,', 'E,E,E,E,ra-world-shape ra-world-shapeA,false']",5,1.0,5,1.0,0,0,0,0,0,0,3,0,1,0,0,2,0.6,0.0,0.2,0.0,0.0,0.4,0.0,0.3219604581083923,1,1,1,none,0,0,0,none,123,high,low,high,low,1,no_error,none,success
AUS123577,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",0,0.0,14,0.0,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.6439209162167847,0.0,1,1,1,none,0,0,0,none,123,low,low,low,low,1,no_error,none,success
AUS123577,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,false']",1,5.0,14,0.0714285714285714,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.4685212856658182,0.196116135138184,1,1,1,none,0,0,0,none,123,high,high,high,high,1,no_error,none,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,place1']",2,1.0,14,0.1428571428571428,1,0,0,0,0,1,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.4841386618546788,0.0156173761888606,1,1,1,place1,0,1,0,case2,123,low,low,low,low,1,error,case,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,pickup1']",3,2.0,14,0.2142857142857142,1,1,0,0,1,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.6403124237432848,0.1717911380774666,1,1,1,pickup1,1,0,0,case1,123,high,low,high,low,1,error,case,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,pickup1']",4,0.0,14,0.2857142857142857,1,1,0,0,1,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.6403124237432848,0.0156173761888606,1,1,1,pickup1,1,0,0,case1,123,low,low,low,low,1,error,case,success
AUS123577,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",5,4.0,14,0.3571428571428571,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.6246950475544243,0.0,1,1,1,none,0,0,0,none,123,low,high,low,high,1,no_error,none,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,place1']",6,2.0,14,0.4285714285714285,1,0,0,0,0,1,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.4841386618546788,0.1717911380774666,1,1,1,place1,0,1,0,case2,123,high,low,high,low,1,error,case,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,place1']",7,6.0,14,0.5,1,0,0,0,0,1,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.4841386618546788,0.0156173761888606,1,1,1,place1,0,1,0,case2,123,low,high,low,high,1,error,case,success
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,place1']",8,1.0,14,0.5714285714285714,1,0,0,0,0,1,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.4841386618546788,0.0156173761888606,1,1,1,place1,0,1,0,case2,123,low,low,low,low,1,error,case,success
AUS123577,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,false']",9,1.0,14,0.6428571428571429,0,1,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.3123475237772121,0.156173761888606,1,1,1,none,0,0,1,case3,123,high,low,high,low,1,no_error,case,success
AUS123577,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,false']",10,2.0,14,0.7142857142857143,0,1,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.3123475237772121,0.0,1,1,1,none,0,0,1,case3,123,low,low,low,low,1,no_error,case,success
AUS123577,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,false']",11,6.0,14,0.7857142857142857,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.156173761888606,0.078086880944303,1,1,1,none,0,0,0,none,123,low,high,high,high,1,no_error,none,success
AUS123577,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,false']",12,0.0,14,0.8571428571428571,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.156173761888606,0.0,1,1,1,none,0,0,0,none,123,low,low,low,low,1,no_error,none,success
AUS123577,"['E,E,E,E,ra-world-arm,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,ra-world-shape ra-world-shapeA,false']",13,18.0,14,0.9285714285714286,0,0,0,0,0,0,6,4,0,0,2,4,0.4285714285714285,0.2857142857142857,0.0,0.0,0.1428571428571428,0.2857142857142857,0.3219604581083923,0.3250192801067005,1,1,1,none,0,0,0,none,123,high,high,high,high,1,no_error,none,success
