Student ID,WorldSpace,index,Submission_TreeDist_Successive,nb_tentative,pct_activity,error,missing,move1,move2,pickup1,place1,nb_error,nb_missing,nb_move1,nb_move2,nb_pickup1,nb_place1,pct_error,pct_missing,pct_move1,pct_move2,pct_pickup1,pct_place1,euclidean_distance,delta_successive,success,has_error,activity,seq_error,case1,case2,case3,cases,activity_all,bucket_delta_successive,bucket_Submission_TreeDist_Successive,median_split_delta_successive,median_split_Submission_TreeDist_Successive,at_least_2_tentatives
AUS123217,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,E,false']",2,2.0,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16564728911226984,0.07808688094430304,1,0,2,none,0,0,0,none,12,high,low,high,low,1
AUS123217,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,E,false']",3,2.0,5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16564728911226984,0.0,1,0,2,none,0,0,0,none,12,low,low,low,low,1
AUS123217,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeA,E,false']",4,2.0,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.055215763037423274,0.11043152607484655,1,0,2,none,0,0,0,none,12,high,low,high,low,1
AUS123217,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",5,3.0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055215763037423274,1,0,2,none,0,0,0,none,12,high,low,high,high,1
AUS123541,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18851840701914957,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123541,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeA,E,false']",1,10.0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09425920350957478,0.14685923364640893,1,0,2,none,0,0,0,none,123,high,high,high,high,1
AUS123541,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",2,1.0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09425920350957478,1,0,2,none,0,0,0,none,123,high,low,high,low,1
AUS123577,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",0,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18851840701914957,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123577,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeA,E,false']",1,7.0,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09425920350957478,0.14685923364640893,1,0,2,none,0,0,0,none,123,high,high,high,high,1
AUS123577,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeA,E,false']",2,4.0,3,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.055215763037423274,0.03904344047215152,1,0,2,none,0,0,0,none,123,low,low,high,high,1
AUS123577,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",3,4.0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055215763037423274,1,0,2,none,0,0,0,none,123,high,low,high,high,1
