Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.576923076923077,1.7244843153378215,67.0,26,1.0
high -> low,1.5384615384615385,1.0669871313476742,40.0,24,0.9230769276618958
low,3.1153846153846154,2.065466980165465,81.0,24,0.9230769276618958
high -> low -> low,0.8846153846153846,0.588348405414552,23.0,20,0.7692307829856873
low -> low,1.1538461538461537,0.8338972450995479,30.0,20,0.7692307829856873
low -> high,0.9230769230769229,1.197433152140926,24.0,14,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
