Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.464,1.4840224326623772,433.0,125,1.0
high -> low,1.4639999999999997,1.1111168458633358,183.0,103,0.8240000009536743
low,2.448,2.1755829771173008,306.0,103,0.8240000009536743
high -> high,0.968,0.7506556274136246,121.0,95,0.7599999904632568
low -> high,1.168,1.0756543394903924,146.0,93,0.7440000176429749
high -> low -> high,0.592,0.6234141170123776,74.0,65,0.5199999809265137


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
