Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.3125,2.2206871938441095,106.0,30,0.9375
low,3.78125,2.523877904618081,121.0,29,0.90625
high -> low,1.53125,1.294763024774256,49.0,23,0.71875
low -> high,1.375,1.2636353087613479,44.0,23,0.71875
low -> low,1.28125,1.1139692183156762,41.0,22,0.6875
high -> high,0.90625,0.856074122506811,29.0,21,0.65625
low -> low -> high,0.78125,0.8700899100741849,25.0,18,0.5625


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
