Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,2.4473684210526314,1.4462882300500213,93.0,36,0.9473684430122375
low -> low,0.868421052631579,0.7770718646226044,33.0,27,0.7105262875556946
high,1.0789473684210527,0.9118315084804608,41.0,27,0.7105262875556946
low -> high,0.6578947368421053,0.5824605677164105,25.0,23,0.6052631735801697


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
